onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
14.19	0.99	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l054.png
43.8	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png
77.79	0.98	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png
110.49	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png
150.69	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h043.png
178.7	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png
205.39	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l008.png
237.49	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h011.png
265.8	0.98	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h044.png
296.69	0.99	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h052.png
332.69	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png
365.28	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png
16.0	3.38	expectrating	1	low_cue	n/a	10.08	Moderate	10.08	Moderate	0.68	2.7	l054.png
46.8	1.62	expectrating	2	low_cue	n/a	1.64	Barely detectable	1.64	Barely detectable	0.62	1.0	l019.png
80.8	2.44	expectrating	3	high_cue	n/a	62.49	Strong	62.49	Strong	0.62	1.82	h040.png
112.39	1.74	expectrating	4	low_cue	n/a	3.99	Weak	3.99	Weak	0.68	1.06	l028.png
152.39	3.75	expectrating	5	high_cue	n/a	72.52	Very Strong	72.52	Very Strong	1.02	2.74	h043.png
181.8	1.62	expectrating	6	low_cue	n/a	8.29	Weak	8.29	Weak	0.4	1.22	l042.png
208.39	2.06	expectrating	7	low_cue	n/a	6.93	Weak	6.93	Weak	0.67	1.39	l008.png
239.19	2.13	expectrating	8	high_cue	n/a	68.16	Very Strong	68.16	Very Strong	0.7	1.43	h011.png
268.8	2.87	expectrating	9	high_cue	n/a	65.08	Very Strong	65.08	Very Strong	0.77	2.1	h044.png
299.49	2.09	expectrating	10	high_cue	n/a	53.13	Strong	53.13	Strong	0.7	1.39	h052.png
335.59	1.95	expectrating	11	high_cue	n/a	53.97	Strong	53.97	Strong	0.45	1.5	h053.png
367.2	1.87	expectrating	12	low_cue	n/a	3.0	Barely detectable	3.0	Barely detectable	0.48	1.38	l012.png
26.68	7.01	stimulus	1	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aeaff_L.mp4
57.48	7.01	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aeaff_M.mp4
87.58	7.0	stimulus	3	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeunaff_M.mp4
125.88	7.02	stimulus	4	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t2aaaff_H.mp4
160.88	7.01	stimulus	5	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	gf097t1aiaff_M.mp4
189.98	7.01	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bn080t1afaff_H.mp4
219.68	7.0	stimulus	7	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aaunaff_L.mp4
245.98	7.01	stimulus	8	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aaaff_H.mp4
276.98	7.01	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeaff_H.mp4
316.08	7.0	stimulus	10	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
346.48	7.02	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaunaff_L.mp4
380.78	7.01	stimulus	12	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aeaff_M.mp4
37.7	1.99	outcomerating	1	low_cue	low_stim	12.06	Moderate	12.06	Moderate	0.45	1.54	task-vicarious_scale.png
69.31	2.32	outcomerating	2	low_cue	med_stim	11.85	Moderate	11.85	Moderate	0.62	1.7	task-vicarious_scale.png
97.4	1.92	outcomerating	3	high_cue	med_stim	51.84	Strong	51.84	Strong	0.78	1.13	task-vicarious_scale.png
136.1	2.72	outcomerating	4	low_cue	high_stim	36.69	Strong	36.69	Strong	0.62	2.1	task-vicarious_scale.png
173.8	3.12	outcomerating	5	high_cue	med_stim	27.29	Moderate	27.29	Moderate	0.77	2.35	task-vicarious_scale.png
