onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
14.19	0.98	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l054.png
43.79	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png
77.78	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png
110.5	0.98	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png
150.69	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h043.png
178.69	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png
205.38	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l008.png
237.49	0.98	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h011.png
265.79	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h044.png
296.68	0.99	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h052.png
332.7	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png
365.29	0.98	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png
15.99	3.02	expectrating	1	low_cue	n/a	2.8	Barely detectable	2.8	Barely detectable	0.2	2.82	l054.png
46.79	1.21	expectrating	2	low_cue	n/a	0.0		0.0		0.43	0.78	l019.png
80.79	2.88	expectrating	3	high_cue	n/a	41.75	Strong	41.75	Strong	0.82	2.07	h040.png
112.4	1.68	expectrating	4	low_cue	n/a	6.49	Weak	6.49	Weak	0.68	1.0	l028.png
152.4	2.17	expectrating	5	high_cue	n/a	69.39	Very Strong	69.39	Very Strong	0.43	1.74	h043.png
181.79	2.21	expectrating	6	low_cue	n/a	10.66	Moderate	10.66	Moderate	0.77	1.44	l042.png
208.4		expectrating	7	low_cue	n/a			10.45	Moderate	0.58	3.95	l008.png
239.19		expectrating	8	high_cue	n/a			13.42	Moderate	2.02	3.22	h011.png
268.79	3.51	expectrating	9	high_cue	n/a	7.04	Weak	7.04	Weak	2.53	0.98	h044.png
299.5	1.25	expectrating	10	high_cue	n/a	62.2	Strong	62.2	Strong	0.63	0.62	h052.png
335.6	1.62	expectrating	11	high_cue	n/a	47.3	Strong	47.3	Strong	0.9	0.72	h053.png
