onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
4.99	0.99	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l049.png
37.4	0.98	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h045.png
70.7	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l034.png
100.19	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png
132.6	0.98	cue	5	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l022.png
165.3	0.98	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png
199.4	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l007.png
236.39	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l001.png
266.49	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png
304.5	0.98	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png
335.9	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h046.png
371.19	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l043.png
7.61	3.92	expectrating	1	low_cue	n/a	5.55	Weak	5.55	Weak	1.13	2.79	l049.png
39.7		expectrating	2	high_cue	n/a			64.57	Very Strong	0.18	3.9	h045.png
73.0		expectrating	3	low_cue	n/a			13.92	Moderate	0.45	3.53	l034.png
102.79		expectrating	4	high_cue	n/a			41.75	Strong	0.05	3.9	h047.png
135.21		expectrating	5	low_cue	n/a			26.67	Moderate	0.33	3.8	l022.png
167.6		expectrating	6	high_cue	n/a			48.58	Strong	0.47	3.8	h040.png
201.8	3.3	expectrating	7	low_cue	n/a	2.84	Barely detectable	2.84	Barely detectable	0.32	2.98	l007.png
239.09		expectrating	8	low_cue	n/a							l001.png
269.71	3.85	expectrating	9	high_cue	n/a	83.02	Very Strong	83.02	Very Strong	0.87	2.99	h042.png
307.4	2.57	expectrating	10	high_cue	n/a	28.03	Moderate	28.03	Moderate	0.05	2.52	h024.png
338.3	3.32	expectrating	11	high_cue	n/a	34.07	Strong	34.07	Strong	1.42	1.9	h046.png
373.09	2.43	expectrating	12	low_cue	n/a	0.0		0.0		0.43	2.0	l043.png
18.79	7.01	stimulus	1	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ll042t1aiaff_H.mp4
51.99	7.01	stimulus	2	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeunaff_M.mp4
79.89	7.0	stimulus	3	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	nm106t1aaunaff_L.mp4
110.19	7.01	stimulus	4	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1afunaff_L.mp4
147.49	7.01	stimulus	5	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	hs107t2aaaff_M.mp4
179.79	7.01	stimulus	6	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	gf097t2aaunaff_H.mp4
214.09	7.0	stimulus	7	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aaunaff_L.mp4
247.39	7.01	stimulus	8	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aiaff_H.mp4
280.19	7.01	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aaaff_H.mp4
319.59	7.01	stimulus	10	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	nm106t2aaunaff_M.mp4
346.59	7.0	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	hs107t2aeunaff_L.mp4
385.19	7.02	stimulus	12	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aeunaff_M.mp4
28.8	3.29	outcomerating	1	low_cue	high_stim	32.83	Strong	32.83	Strong	0.62	2.68	task-vicarious_scale.png
65.5		outcomerating	2	high_cue	med_stim							task-vicarious_scale.png
88.3	3.82	outcomerating	3	low_cue	low_stim	12.08	Moderate	12.08	Moderate	0.35	3.47	task-vicarious_scale.png
123.7		outcomerating	4	high_cue	low_stim			27.29	Moderate	0.08	3.82	task-vicarious_scale.png
156.41	2.75	outcomerating	5	low_cue	med_stim	52.17	Strong	52.17	Strong	0.05	2.7	task-vicarious_scale.png
190.61	3.27	outcomerating	6	high_cue	high_stim	0.0		0.0		1.12	2.15	task-vicarious_scale.png
231.01		outcomerating	7	low_cue	low_stim			0.0		0.08	2.52	task-vicarious_scale.png
261.2	3.69	outcomerating	8	low_cue	high_stim	23.17	Moderate	23.17	Moderate	0.05	3.64	task-vicarious_scale.png
290.7	3.55	outcomerating	9	high_cue	high_stim	23.17	Moderate	23.17	Moderate	0.23	3.32	task-vicarious_scale.png
329.71	2.78	outcomerating	10	high_cue	med_stim	15.6	Moderate	15.6	Moderate	0.05	2.73	task-vicarious_scale.png
358.3	3.07	outcomerating	11	high_cue	low_stim	8.29	Weak	8.29	Weak	0.55	2.52	task-vicarious_scale.png
394.9	3.67	outcomerating	12	low_cue	med_stim	28.0	Moderate	28.0	Moderate	0.1	3.57	task-vicarious_scale.png
