,sub,ses,run,runtype,event,trial,cuetype,stimintensity
0,2,3,3,cognitive,stimulus,,high,low
1,2,3,3,cognitive,stimulus,4,high,med
2,2,3,3,cognitive,stimulus,5,high,high
3,2,3,3,cognitive,stimulus,6,high,low
4,2,3,3,cognitive,stimulus,7,high,high
5,2,3,3,cognitive,stimulus,11,high,med
6,2,3,6,cognitive,stimulus,1,high,med
7,2,3,6,cognitive,stimulus,2,high,low
8,2,3,6,cognitive,stimulus,3,high,high
9,2,3,6,cognitive,stimulus,8,high,low
10,2,3,6,cognitive,stimulus,9,high,high
11,2,3,6,cognitive,stimulus,10,high,med
12,2,4,2,cognitive,stimulus,,high,med
13,2,4,2,cognitive,stimulus,1,high,high
14,2,4,2,cognitive,stimulus,3,high,low
15,2,4,2,cognitive,stimulus,4,high,med
16,2,4,2,cognitive,stimulus,8,high,high
17,2,4,2,cognitive,stimulus,10,high,low
18,2,4,5,cognitive,stimulus,,high,high
19,2,4,5,cognitive,stimulus,2,high,high
20,2,4,5,cognitive,stimulus,4,high,low
21,2,4,5,cognitive,stimulus,5,high,med
22,2,4,5,cognitive,stimulus,7,high,low
23,2,4,5,cognitive,stimulus,9,high,med
24,3,3,2,cognitive,stimulus,3,high,low
25,3,3,2,cognitive,stimulus,4,high,med
26,3,3,2,cognitive,stimulus,5,high,high
27,3,3,2,cognitive,stimulus,6,high,low
28,3,3,2,cognitive,stimulus,8,high,high
29,3,3,2,cognitive,stimulus,10,high,med
30,3,3,5,cognitive,stimulus,,high,low
31,3,3,5,cognitive,stimulus,1,high,low
32,3,3,5,cognitive,stimulus,2,high,med
33,3,3,5,cognitive,stimulus,4,high,high
34,3,3,5,cognitive,stimulus,6,high,high
35,3,3,5,cognitive,stimulus,7,high,med
36,3,4,1,cognitive,stimulus,4,high,med
37,3,4,1,cognitive,stimulus,5,high,high
38,3,4,1,cognitive,stimulus,6,high,med
39,3,4,1,cognitive,stimulus,7,high,low
40,3,4,1,cognitive,stimulus,8,high,low
41,3,4,1,cognitive,stimulus,9,high,high
42,3,4,6,cognitive,stimulus,1,high,med
43,3,4,6,cognitive,stimulus,4,high,low
44,3,4,6,cognitive,stimulus,5,high,med
45,3,4,6,cognitive,stimulus,6,high,low
46,3,4,6,cognitive,stimulus,10,high,high
47,3,4,6,cognitive,stimulus,11,high,high
48,4,3,1,cognitive,stimulus,2,high,low
49,4,3,1,cognitive,stimulus,3,high,med
50,4,3,1,cognitive,stimulus,4,high,high
51,4,3,1,cognitive,stimulus,7,high,high
52,4,3,1,cognitive,stimulus,8,high,low
53,4,3,1,cognitive,stimulus,11,high,med
54,4,3,5,cognitive,stimulus,3,high,low
55,4,3,5,cognitive,stimulus,4,high,med
56,4,3,5,cognitive,stimulus,5,high,high
57,4,3,5,cognitive,stimulus,6,high,low
58,4,3,5,cognitive,stimulus,8,high,high
59,4,3,5,cognitive,stimulus,10,high,med
60,4,4,2,cognitive,stimulus,1,high,med
61,4,4,2,cognitive,stimulus,4,high,low
62,4,4,2,cognitive,stimulus,5,high,med
63,4,4,2,cognitive,stimulus,6,high,low
64,4,4,2,cognitive,stimulus,10,high,high
65,4,4,2,cognitive,stimulus,11,high,high
66,4,4,4,cognitive,stimulus,,high,low
67,4,4,4,cognitive,stimulus,2,high,low
68,4,4,4,cognitive,stimulus,4,high,high
69,4,4,4,cognitive,stimulus,8,high,high
70,4,4,4,cognitive,stimulus,10,high,med
71,4,4,4,cognitive,stimulus,11,high,med
72,5,3,2,cognitive,stimulus,,high,low
73,5,3,2,cognitive,stimulus,4,high,med
74,5,3,2,cognitive,stimulus,5,high,high
75,5,3,2,cognitive,stimulus,6,high,low
76,5,3,2,cognitive,stimulus,7,high,high
77,5,3,2,cognitive,stimulus,11,high,med
78,5,3,5,cognitive,stimulus,1,high,med
79,5,3,5,cognitive,stimulus,2,high,low
80,5,3,5,cognitive,stimulus,3,high,high
81,5,3,5,cognitive,stimulus,8,high,low
82,5,3,5,cognitive,stimulus,9,high,high
83,5,3,5,cognitive,stimulus,10,high,med
84,5,4,1,cognitive,stimulus,,high,high
85,5,4,1,cognitive,stimulus,2,high,high
86,5,4,1,cognitive,stimulus,4,high,low
87,5,4,1,cognitive,stimulus,5,high,med
88,5,4,1,cognitive,stimulus,7,high,low
89,5,4,1,cognitive,stimulus,9,high,med
90,5,4,5,cognitive,stimulus,,high,med
91,5,4,5,cognitive,stimulus,1,high,high
92,5,4,5,cognitive,stimulus,3,high,low
93,5,4,5,cognitive,stimulus,4,high,med
94,5,4,5,cognitive,stimulus,8,high,high
95,5,4,5,cognitive,stimulus,10,high,low
96,6,3,1,cognitive,stimulus,3,high,low
97,6,3,1,cognitive,stimulus,4,high,med
98,6,3,1,cognitive,stimulus,5,high,high
99,6,3,1,cognitive,stimulus,6,high,low
100,6,3,1,cognitive,stimulus,8,high,high
101,6,3,1,cognitive,stimulus,10,high,med
102,6,3,6,cognitive,stimulus,2,high,low
103,6,3,6,cognitive,stimulus,3,high,med
104,6,3,6,cognitive,stimulus,4,high,high
105,6,3,6,cognitive,stimulus,7,high,high
106,6,3,6,cognitive,stimulus,8,high,low
107,6,3,6,cognitive,stimulus,11,high,med
108,6,4,3,cognitive,stimulus,1,high,med
109,6,4,3,cognitive,stimulus,4,high,low
110,6,4,3,cognitive,stimulus,5,high,med
111,6,4,3,cognitive,stimulus,6,high,low
112,6,4,3,cognitive,stimulus,10,high,high
113,6,4,3,cognitive,stimulus,11,high,high
114,6,4,4,cognitive,stimulus,,high,low
115,6,4,4,cognitive,stimulus,2,high,low
116,6,4,4,cognitive,stimulus,4,high,high
117,6,4,4,cognitive,stimulus,8,high,high
118,6,4,4,cognitive,stimulus,10,high,med
119,6,4,4,cognitive,stimulus,11,high,med
120,7,3,1,cognitive,stimulus,1,high,low
121,7,3,1,cognitive,stimulus,2,high,high
122,7,3,1,cognitive,stimulus,4,high,low
123,7,3,1,cognitive,stimulus,7,high,med
124,7,3,1,cognitive,stimulus,9,high,med
125,7,3,1,cognitive,stimulus,11,high,high
126,7,3,5,cognitive,stimulus,,high,med
127,7,3,5,cognitive,stimulus,1,high,low
128,7,3,5,cognitive,stimulus,3,high,high
129,7,3,5,cognitive,stimulus,4,high,high
130,7,3,5,cognitive,stimulus,6,high,med
131,7,3,5,cognitive,stimulus,7,high,low
132,8,3,3,cognitive,stimulus,,high,low
133,8,3,3,cognitive,stimulus,1,high,low
134,8,3,3,cognitive,stimulus,2,high,med
135,8,3,3,cognitive,stimulus,4,high,high
136,8,3,3,cognitive,stimulus,6,high,high
137,8,3,3,cognitive,stimulus,7,high,med
138,8,3,4,cognitive,stimulus,3,high,low
139,8,3,4,cognitive,stimulus,4,high,med
140,8,3,4,cognitive,stimulus,5,high,high
141,8,3,4,cognitive,stimulus,6,high,low
142,8,3,4,cognitive,stimulus,8,high,high
143,8,3,4,cognitive,stimulus,10,high,med
