Thal_VPLM_R,Thal_VPLM_L,Thal_MD,dpIns_L,dpIns_R,aMCC_MPFC,singletrial_fname
-0.408243596553802,0.0562331825494766,0.395233005285263,-0.326514214277267,-0.234278932213783,-0.354535907506943,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz
0.616434276103973,1.45565187931061,2.6318519115448,1.13591420650482,1.10305392742157,0.846012592315674,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz
0.16190505027771,-0.517634451389313,-0.21110537648201,-0.296621918678284,-0.343226611614227,-0.682796239852905,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz
0.273622542619705,0.246033921837807,1.40747046470642,0.293812453746796,0.108480796217918,0.312319934368134,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz
-0.0986268669366837,0.380569905042648,1.43355429172516,0.230075493454933,-0.0636361539363861,0.0628652945160866,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz
0.0723075866699219,0.239840343594551,0.0674983561038971,0.338649839162827,0.0407838933169842,0.0236953645944595,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz
-0.816481471061707,-0.0498560033738613,0.154859378933907,-0.469721853733063,-0.483463823795319,-0.138891756534576,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz
-0.0548638589680195,0.299735635519028,0.631191670894623,-0.100675761699677,0.290871381759644,0.497815161943436,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz
0.237742409110069,0.201295509934425,-0.270719647407532,0.242629408836365,0.0211709048599005,-0.172439679503441,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz
0.0985602214932442,1.18704545497894,1.33476281166077,-0.374950796365738,-0.35125932097435,-0.204344660043716,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz
