onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
9.79	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h025.png
41.51	0.98	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h050.png
67.4	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l047.png
96.79	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png
128.41	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h045.png
171.0	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png
198.3	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l032.png
234.9	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l033.png
262.21	0.98	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png
291.1	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l023.png
336.6	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h023.png
371.6	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png
12.53	3.18	expectrating	1	high_cue	n/a	50.22	Strong	50.22	Strong	0.92	2.27	h025.png
43.01	2.33	expectrating	2	high_cue	n/a	40.07	Strong	40.07	Strong	0.5	1.83	h050.png
69.5	2.82	expectrating	3	low_cue	n/a	16.9	Moderate	16.9	Moderate	0.42	2.41	l047.png
100.71	2.15	expectrating	4	high_cue	n/a	47.76	Strong	47.76	Strong	0.42	1.73	h012.png
132.31	2.57	expectrating	5	high_cue	n/a	97.21	Very Strong	97.21	Very Strong	0.65	1.92	h045.png
174.91	2.6	expectrating	6	low_cue	n/a	25.63	Moderate	25.63	Moderate	0.65	1.95	l030.png
199.8	2.12	expectrating	7	low_cue	n/a	31.16	Strong	31.16	Strong	0.78	1.34	l032.png
237.0	2.82	expectrating	8	low_cue	n/a	11.46	Moderate	11.46	Moderate	0.65	2.17	l033.png
264.91	3.18	expectrating	9	high_cue	n/a	77.45	Very Strong	77.45	Very Strong	0.67	2.52	h001.png
293.3	2.57	expectrating	10	low_cue	n/a	38.73	Strong	38.73	Strong	0.78	1.79	l023.png
338.3	3.54	expectrating	11	high_cue	n/a	58.48	Strong	58.48	Strong	1.08	2.46	h023.png
373.4	2.12	expectrating	12	low_cue	n/a	10.14	Moderate	10.14	Moderate	0.28	1.83	l035.png
24.19	7.01	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aiaff_M.mp4
51.09	7.01	stimulus	2	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aiaff_H.mp4
77.69	7.02	stimulus	3	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t1aiaff_H.mp4
110.89	7.01	stimulus	4	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t1aaunaff_L.mp4
146.99	7.01	stimulus	5	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aeaff_M.mp4
181.79	7.01	stimulus	6	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t1aeunaff_L.mp4
210.09	7.02	stimulus	7	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t2aaaff_M.mp4
246.29	7.01	stimulus	8	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t2aaaff_M.mp4
