onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
4.1	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png
33.5	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l043.png
71.6	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png
105.61	0.98	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png
132.81	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h026.png
163.3	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
196.9	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l008.png
231.4	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l025.png
270.39	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h007.png
297.71	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l024.png
327.2	0.99	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png
372.6	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png
7.22	1.64	expectrating	1	high_cue	n/a	78.19	Very Strong	78.19	Very Strong	0.05	1.59	h012.png
36.6	2.41	expectrating	2	low_cue	n/a	7.69	Weak	7.69	Weak	0.32	2.09	l043.png
73.61	1.68	expectrating	3	high_cue	n/a	100.63	Strongest sensation of any kind	100.63	Strongest sensation of any kind	0.45	1.23	h017.png
108.71	1.4	expectrating	4	high_cue	n/a	86.52	Very Strong	86.52	Very Strong	0.05	1.35	h033.png
135.91	1.97	expectrating	5	high_cue	n/a	56.44	Strong	56.44	Strong	0.05	1.92	h026.png
165.3	2.3	expectrating	6	high_cue	n/a	88.39	Very Strong	88.39	Very Strong	0.35	1.95	h021.png
199.3	2.12	expectrating	7	low_cue	n/a	6.03	Weak	6.03	Weak	0.35	1.77	l008.png
234.31	1.22	expectrating	8	low_cue	n/a	13.81	Moderate	13.81	Moderate	0.38	0.84	l025.png
272.21	2.27	expectrating	9	high_cue	n/a	50.08	Strong	50.08	Strong	0.72	1.55	h007.png
300.21	1.35	expectrating	10	low_cue	n/a	16.97	Moderate	16.97	Moderate	0.13	1.22	l024.png
329.1	1.45	expectrating	11	low_cue	n/a	0.7	No sensation	0.7	No sensation	0.08	1.37	l041.png
374.6	3.25	expectrating	12	low_cue	n/a	3.5	Weak	3.5	Weak	0.47	2.78	l030.png
14.49	7.02	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aeaff_M.mp4
49.49	7.01	stimulus	2	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
86.49	7.01	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t1aeunaff_L.mp4
119.89	7.01	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t1aeaff_H.mp4
143.2	7.0	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t2aeunaff_L.mp4
176.49	7.02	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2afaff_M.mp4
