sub-ID,SID,A#,Date,Session #,Staff,Time in Scanner,Audio Check (during scout),"ses-01
T1 
(Structural)",ses-01          T1 Quality Check,ses-01 T1 actions,"ses-01
DWI","ses-04
Fractional 
Run-01","ses-04
Fractional 
Run-02","ses-01,03,04
PVC 
Run-01","ses-01,03,04
PVC 
Run-02","ses-01,03,04
PVC 
Run-03","ses-01,03,04
PVC 
Run-04","ses-01,03,04
PVC 
Run-05","ses-01,03,04
PVC 
Run-06","ses-03
short-video","ses-02
Narratives 
Run-01","ses-02
Narratives 
Run-02","ses-02
Narratives 
Run-03","ses-02
Narratives 
Run-04","ses-02
Faces 
Run-01","ses-02
Faces
Run-02","ses-02
Faces 
Run-03","ses-01,02,03,04
Align Videos 
Run-01","ses-01,02,03,04
Align Videos 
Run-02","ses-01,02,03,04
Align Videos 
Run-03","ses-01,02,03,04
Align Videos 
Run-04",Scan comments?,T-Points for scan time?,# T-Points,BioPac?,EDA location,PPD location,BioPac Comments?,GitPush?,BioPac Saved?,Data on Rolando?,Data sent comments?,Post-scan: Debrief
sub-0001,SID001804,A003437,11/24/2020,ses-01,,1:00 PM,complete,complete,,,complete,N/A,N/A,complete,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,,,,N/A,,Yes,,,,Yes,Yes,Yes,,N/A
sub-0001,SID001804,A003438,12/01/2020,ses-02,,2:00 PM,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,,,complete,,,complete,,,,"- mouse trackball was finicky during narrative feel/expect ""delayed reponse""
- faces run 2 restart (scanner automattically triggered)
- narratives run 2 restart all over (trajectory didn't save) 
- checked in for trackball (in between faces runs - faces task did not have delayed response) 
- neutral vs strong intensity
- videos: cursor visible",N/A,,Yes,,,,Yes,Yes,Yes,,N/A
sub-0001,SID001804,A003439,12/04/2020,ses-03,,2:46 PM,complete,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,,N/A,,N/A,,Yes,,,,Yes,Yes,Yes,,N/A
sub-0001,SID001804,A003440,12/08/2020,ses-04,,1:25 PM,complete,N/A,N/A,N/A,N/A,complete,,complete,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,N/A,N/A,"- had to scan fractional run 1 because of projector message on screen (self test failed - Terry will look into it)
- had to scan PVC cognitive run because the trackball button was stuck
- previous PVC pain task timing was lingering - therefore the last runs were last. (",N/A,,Yes,,,,Yes,Yes,,,Yes
sub-0002,SID001828,A003466,01/27/2021,ses-01,"EM*, LS",09:40 AM,complete,complete,,,complete,N/A,N/A,complete,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,,,Trackball was not working during audio calibration. We re-calibrated the trackball and then it worked. 2nd run of pvc started scanner slightly before the stim pc hit S,N/A,,No,N/A,N/A,,Yes,N/A,,,N/A
sub-0003,SID001117,A003445,01/27/2021,ses-01,HJ,12:19 PM,complete,complete,,,complete,N/A,N/A,complete,complete,complete,complete,complete,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,complete,complete,complete,"- Plateau 3s; 
- S1: One of the SCR wires was disconnected when we pulled the P out of the scanner. Unclear if it happened during the scan or upon exit. Some low pain ratings during high pain stimulus were noticed; unclear if thermode gap occured. 
- Used v1 protocol for arm site measurements.",N/A,,Yes,Base left palm,Top left index finger,Moved BioPac locations,Yes,Yes,Yes,,N/A
sub-0004,SID001784,A003444,01/28/2021,ses-01,HJ*,09:10 AM,complete,complete,,,complete,N/A,N/A,complete,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,complete,,,,"- VPCPVC
- Plateau 3s; Session 1: Some low pain ratings during high pain stimulus were noticed; unclear if thermode gap occured.
- Used v1 of arm site measurements.",N/A,,Yes,,,,Yes,,,,N/A
sub-0004,SID001784,A003447,02/03/2021,ses-02,HJ,08:30 AM,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Incomplete,,,,complete,,,complete,,,,"- narratives crashed. no data; We had to restart the entire scanner because it shut off mid-run. 
- sequence: Afterwards we only ran the faces task and the align videos task. 
- biopac: We didn't switch between the faces and alignvideo biopac files before starting the videos. So the last 4 parts of the faces biopac file also includes the biopac data for the alignvideos task.",N/A,,,,,,Yes,Yes,,,N/A
sub-0005,SID001711,A003448,02/04/2021,ses-02,HJ,02:06 AM,complete,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Incomplete,,,,complete,,,complete,,,,"- Behavioral: No responses for some of practice videos because participant was confused why he was rewatching the same ones. 
- Scan: biopac one of the skin conductance clamps came off at some point. Can't point out when - based on eyeballing the biopac data - seems like it came off around run 3
- Scan: alignvideo Participant noted after scan that it was hard to hear the photographer video; some (but not as significant) trouble hearing the second-to-last video (9/11) as well.",N/A,,,,,,Yes,Yes,,,N/A
sub-0003,SID001117,A003450,02/10/2021,ses-02,"HJ, BH",11:15 AM,complete,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,"- biopac narratives: no skin conductance
- may have been the gel. We atttached a new EDA patch before the faces task
",N/A,,Partial,Bottom left foot,Right big toe,"- biopac narratives: no skin conductance
- may have been the gel. We atttached a new EDA patch before the faces task
",Incomplete,,,,N/A
sub-0004,SID001784,A003449,02/10/2021,ses-03,,9:25 AM,complete,N/A,N/A,N/A,N/A,,N/A,complete,,,,,,complete,,N/A,N/A,N/A,,N/A,N/A,complete,,,N/A,"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped",N/A,,,,,,Yes,Yes,,,N/A
sub-0005,SID001711,A003452,02/11/2021,ses-03,,2:32 PM,complete,N/A,N/A,N/A,N/A,,N/A,complete,,,,,,complete,,N/A,N/A,N/A,,N/A,N/A,complete,,,N/A,"-PVC run order: VCPPCV
-discontinued PVC task twice & restarted biopac each time because trackball was not connected
-EDA signal looks flat; after PCV task we swapped out the electrode (different type), but it did not improve signal
-Started align videos practice mistakenly during short videos task; paused and restarted biopac
-Participant noted a response delay (ie. he was moving the cursor but the mouse didn't move right away) during two align videos trials towards the end with happy/sad cue (@heejung please confirm this note)",N/A,,,,,,Yes,,,,N/A
sub-0003,SID001117,A003456,02/17/2021,ses-03,"HJ, LS",10:32 AM,complete,N/A,N/A,N/A,N/A,,N/A,complete,complete,complete,complete,complete,complete,complete,,N/A,N/A,N/A,,N/A,N/A,complete,complete,complete,N/A,- Used v2 protocol for arm site measurements,N/A,,Yes,Bottom left foot,Right big toe,,Yes,Yes,,,N/A
