sub	ses	run	runtype	trial_index	cue	stimulusintensity	singletrial_fname	expectrating	expectlabel	outcomerating	outcomelabel	expectrating_impute	expectlabel_impute	outcomerating_impute	outcomelabel_impute	expectrating_RT	expectrating_RTimpute	outcomerating_RT	outcomerating_RTimpute	pain_stimulus_delivery_success
sub-0002	ses-03	run-01	vicarious	1	low_cue	low_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0002	ses-03	run-01	vicarious	2	high_cue	med_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz	n/a	n/a	n/a	n/a	n/a	n/a	32.54	Strong	n/a	n/a	n/a	2.55	n/a
sub-0002	ses-03	run-01	vicarious	3	high_cue	low_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz	53.37	Strong	9.46	Weak	53.37	Strong	9.46	Weak	3.32	3.27	3.24	2.79	n/a
sub-0002	ses-03	run-01	vicarious	4	high_cue	high_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz	36.87	Strong	n/a	n/a	36.87	Strong	46.95	Strong	2.5	2.02	n/a	2.6	n/a
sub-0002	ses-03	run-01	vicarious	5	low_cue	med_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz	32.25	Strong	63.22	Strong	32.25	Strong	63.22	Strong	2.72	2.25	2.93	2.42	n/a
sub-0002	ses-03	run-01	vicarious	6	low_cue	high_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz	22.33	Moderate	n/a	n/a	22.33	Moderate	23.36	Moderate	3.37	2.59	n/a	2.27	n/a
sub-0002	ses-03	run-01	vicarious	7	low_cue	med_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz	20.39	Moderate	9.5	Weak	20.39	Moderate	9.5	Weak	2.63	1.74	2.83	2.6	n/a
sub-0002	ses-03	run-01	vicarious	8	low_cue	high_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz	3.99	Weak	17.67	Moderate	3.99	Weak	17.67	Moderate	3.32	3.0	2.67	1.95	n/a
sub-0002	ses-03	run-01	vicarious	9	high_cue	low_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz	n/a	n/a	n/a	n/a	26.57	Moderate	16.72	Moderate	n/a	3.92	n/a	1.77	n/a
sub-0002	ses-03	run-01	vicarious	10	high_cue	high_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz	n/a	n/a	55.33	Strong	11.92	Moderate	55.33	Strong	n/a	3.75	3.03	2.3	n/a
sub-0002	ses-03	run-01	vicarious	11	high_cue	med_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz	n/a	n/a	6.72	Weak	19.16	Moderate	6.72	Weak	n/a	3.53	2.85	1.8	n/a
sub-0002	ses-03	run-01	vicarious	12	low_cue	low_stim	sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz	18.51	Moderate	n/a	n/a	18.51	Moderate	10.68	Moderate	2.2	2.15	n/a	2.18	n/a
