onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
4.1	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png
33.49	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l043.png
71.61	0.98	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png
105.6	0.98	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png
132.8	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h026.png
163.29	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
196.9	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l008.png
231.4	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l025.png
270.4	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h007.png
297.69	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l024.png
327.2	0.98	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png
372.6	0.98	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png
7.23	2.15	expectrating	1	high_cue	n/a	46.73	Strong	46.73	Strong	0.73	1.42	h012.png
36.61	2.11	expectrating	2	low_cue	n/a	3.68	Weak	3.68	Weak	0.45	1.66	l043.png
73.61	1.73	expectrating	3	high_cue	n/a	54.65	Strong	54.65	Strong	0.7	1.03	h017.png
108.7	1.43	expectrating	4	high_cue	n/a	71.34	Very Strong	71.34	Very Strong	0.18	1.25	h033.png
135.91	1.59	expectrating	5	high_cue	n/a	41.42	Strong	41.42	Strong	0.7	0.89	h026.png
165.31	2.12	expectrating	6	high_cue	n/a	61.46	Strong	61.46	Strong	1.02	1.11	h021.png
199.3	1.9	expectrating	7	low_cue	n/a	2.31	Barely detectable	2.31	Barely detectable	0.32	1.58	l008.png
234.3	1.98	expectrating	8	low_cue	n/a	0.0		0.0		0.72	1.27	l025.png
272.2	1.62	expectrating	9	high_cue	n/a	49.9	Strong	49.9	Strong	0.68	0.94	h007.png
300.21	2.44	expectrating	10	low_cue	n/a	6.44	Weak	6.44	Weak	0.47	1.97	l024.png
329.1	1.42	expectrating	11	low_cue	n/a	0.7	No sensation	0.7	No sensation	0.57	0.85	l041.png
374.6	1.58	expectrating	12	low_cue	n/a	3.5	Weak	3.5	Weak	0.63	0.95	l030.png
14.49	7.02	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aeaff_M.mp4
49.49	7.01	stimulus	2	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
86.49	7.01	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t1aeunaff_L.mp4
119.89	7.0	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t1aeaff_H.mp4
143.19	7.01	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t2aeunaff_L.mp4
176.49	7.01	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2afaff_M.mp4
207.89	7.0	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t1aiaff_H.mp4
242.89	7.0	stimulus	8	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2afunaff_M.mp4
280.79	7.02	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t2aaaff_H.mp4
308.29	7.01	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t2aaunaff_M.mp4
346.59	7.01	stimulus	11	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	th108t1aaunaff_L.mp4
386.39	7.0	stimulus	12	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	th108t1aeaff_H.mp4
23.7	2.22	outcomerating	1	high_cue	med_stim	10.22	Moderate	10.22	Moderate	0.45	1.77	task-vicarious_scale.png
62.4	1.68	outcomerating	2	low_cue	low_stim	0.0		0.0		0.5	1.18	task-vicarious_scale.png
97.12	2.34	outcomerating	3	high_cue	low_stim	14.71	Moderate	14.71	Moderate	0.55	1.79	task-vicarious_scale.png
127.51	1.96	outcomerating	4	high_cue	high_stim	22.67	Moderate	22.67	Moderate	0.53	1.42	task-vicarious_scale.png
152.42	1.6	outcomerating	5	high_cue	low_stim	19.45	Moderate	19.45	Moderate	0.6	1.0	task-vicarious_scale.png
184.51	2.47	outcomerating	6	high_cue	med_stim	38.77	Strong	38.77	Strong	0.65	1.82	task-vicarious_scale.png
224.41	2.15	outcomerating	7	low_cue	high_stim	29.05	Strong	29.05	Strong	0.28	1.87	task-vicarious_scale.png
257.01	1.87	outcomerating	8	low_cue	med_stim	0.0		0.0		0.63	1.24	task-vicarious_scale.png
292.4	2.39	outcomerating	9	high_cue	high_stim	47.11	Strong	47.11	Strong	0.73	1.65	task-vicarious_scale.png
318.01	3.65	outcomerating	10	low_cue	med_stim	7.13	Weak	7.13	Weak	0.78	2.87	task-vicarious_scale.png
367.02	3.99	outcomerating	11	low_cue	low_stim	19.89	Moderate	19.89	Moderate	1.35	2.64	task-vicarious_scale.png
394.41	2.26	outcomerating	12	low_cue	high_stim	43.2	Strong	43.2	Strong	0.53	1.72	task-vicarious_scale.png
