singletrial_fname	regressor	vif	event
vif_sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-med.tsv	stimulus__000	2.9904354969917666	stimulus
vif_sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-low.tsv	stimulus__001	2.907709280866165	stimulus
vif_sub-0015_ses-01_run-02_runtype-cognitive_event-cue_trial-007_cuetype-high.tsv	cue__007	7.3307373398951325	cue
vif_sub-0015_ses-01_run-03_runtype-vicarious_event-cue_trial-006_cuetype-high.tsv	cue__006	3.547017954372512	cue
vif_sub-0015_ses-01_run-04_runtype-cognitive_event-cue_trial-007_cuetype-high.tsv	cue__007	4.0513136252600095	cue
vif_sub-0015_ses-01_run-04_runtype-cognitive_event-cue_trial-010_cuetype-high.tsv	cue__010	2.5516024123353125	cue
vif_sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-low.tsv	stimulus__006	3.848120089362367	stimulus
vif_sub-0015_ses-01_run-05_runtype-pain_event-cue_trial-009_cuetype-low.tsv	cue__009	5.508353206956005	cue
vif_sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-high.tsv	stimulus__009	2.9765062279321386	stimulus
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-002_cuetype-high.tsv	cue__002	4.254676961306632	cue
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-004_cuetype-high.tsv	cue__004	2.6474646077621995	cue
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.tsv	cue__010	2.6146381547934543	cue
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.tsv	stimulus__002	4.996947371599692	stimulus
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.tsv	stimulus__007	5.072851785828859	stimulus
vif_sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.783109524006928	stimulus
vif_sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.tsv	stimulus__010	2.6991711410436183	stimulus
vif_sub-0016_ses-01_run-04_runtype-pain_event-cue_trial-004_cuetype-high.tsv	cue__004	2.6147708307125765	cue
vif_sub-0017_ses-01_run-05_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	2.8399100158379595	stimulus
vif_sub-0017_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.tsv	cue__010	2.685956149889346	cue
vif_sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-000_cuetype-high.tsv	cue__000	2.5632821974872604	cue
vif_sub-0019_ses-01_run-03_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.tsv	stimulus__001	2.560540539962629	stimulus
vif_sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-000_cuetype-high.tsv	cue__000	2.6271923206739007	cue
vif_sub-0019_ses-01_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	3.4254400274720442	stimulus
vif_sub-0021_ses-01_run-01_runtype-pain_event-cue_trial-007_cuetype-low.tsv	cue__007	2.5127098643345382	cue
vif_sub-0021_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.tsv	stimulus__005	2.6501598907137183	stimulus
vif_sub-0021_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.tsv	stimulus__007	2.514644685443871	stimulus
vif_sub-0021_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.tsv	stimulus__008	3.8334377160671393	stimulus
vif_sub-0021_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.5219729755259754	stimulus
vif_sub-0021_ses-01_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.tsv	stimulus__002	2.5234110628166424	stimulus
vif_sub-0021_ses-01_run-03_runtype-vicarious_event-cue_trial-001_cuetype-low.tsv	cue__001	2.6084868300115187	cue
vif_sub-0021_ses-01_run-04_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-low.tsv	stimulus__009	10.233728883496733	stimulus
vif_sub-0021_ses-01_run-05_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.tsv	stimulus__002	3.134771071070843	stimulus
vif_sub-0021_ses-01_run-05_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-med.tsv	stimulus__010	3.034605666787445	stimulus
vif_sub-0021_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	5.179310861263817	stimulus
vif_sub-0023_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	3.1198961776296503	stimulus
vif_sub-0023_ses-01_run-02_runtype-vicarious_event-cue_trial-004_cuetype-high.tsv	cue__004	2.7121157214005747	cue
vif_sub-0023_ses-01_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.tsv	stimulus__008	3.217772913054127	stimulus
vif_sub-0023_ses-01_run-04_runtype-cognitive_event-cue_trial-011_cuetype-low.tsv	cue__011	4.1227607664156	cue
vif_sub-0023_ses-01_run-06_runtype-pain_event-cue_trial-003_cuetype-low.tsv	cue__003	3.1266603146041816	cue
vif_sub-0023_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-high.tsv	stimulus__001	3.3970729541185	stimulus
vif_sub-0023_ses-01_run-06_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.tsv	stimulus__007	4.323853566631605	stimulus
vif_sub-0023_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-low.tsv	stimulus__009	2.70350160611115	stimulus
