singletrial_fname	sub	ses	run	runtype	event	trial	cuetype
sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz	sub-0002	ses-03	run-02	pain	stimulus	trial-009	high_stimintensity
sub-0002_ses-04_run-05_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-med.nii.gz	sub-0002	ses-04	run-05	cognitive	stimulus	trial-010	low_stimintensity
sub-0002_ses-04_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz	sub-0002	ses-04	run-02	cognitive	stimulus	trial-005	low_stimintensity
sub-0002_ses-04_run-05_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz	sub-0002	ses-04	run-05	cognitive	stimulus	trial-006	low_stimintensity
sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz	sub-0002	ses-03	run-03	cognitive	stimulus	trial-007	high_stimintensity
sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz	sub-0002	ses-03	run-01	vicarious	stimulus	trial-011	low_stimintensity
sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz	sub-0002	ses-03	run-02	pain	stimulus	trial-002	low_stimintensity
sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz	sub-0002	ses-03	run-06	cognitive	stimulus	trial-010	high_stimintensity
sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-med.nii.gz	sub-0002	ses-03	run-02	pain	stimulus	trial-010	low_stimintensity
sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	sub-0002	ses-03	run-03	cognitive	stimulus	trial-008	low_stimintensity
