onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
14.22	0.99	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l054.png
43.81	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png
77.82	0.98	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png
110.52	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png
150.72	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h043.png
178.71	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png
205.42	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l008.png
237.52	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h011.png
265.81	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h044.png
296.72	0.98	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h052.png
332.72	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png
365.31	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png
16.05		expectrating	1	low_cue	n/a			9.27	Weak	0.58	3.18	l054.png
46.83		expectrating	2	low_cue	n/a			6.21	Weak	0.12	2.58	l019.png
80.84		expectrating	3	high_cue	n/a			32.03	Strong	0.6	3.02	h040.png
112.42		expectrating	4	low_cue	n/a			3.0	Barely detectable	0.47	1.32	l028.png
152.42		expectrating	5	high_cue	n/a			34.9	Strong	1.05	2.67	h043.png
181.83		expectrating	6	low_cue	n/a			7.41	Weak	0.35	0.93	l042.png
208.42		expectrating	7	low_cue	n/a			7.53	Weak	0.23	1.17	l008.png
239.22		expectrating	8	high_cue	n/a			47.76	Strong	0.28	3.07	h011.png
268.83		expectrating	9	high_cue	n/a			38.48	Strong	0.08	3.43	h044.png
299.52		expectrating	10	high_cue	n/a			35.22	Strong	0.32	1.77	h052.png
335.62		expectrating	11	high_cue	n/a			47.93	Strong	0.6	3.65	h053.png
367.21		expectrating	12	low_cue	n/a			7.3	Weak	0.38	1.07	l012.png
26.71	7.02	stimulus	1	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aeaff_L.mp4
57.51	7.01	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aeaff_M.mp4
87.61	7.0	stimulus	3	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeunaff_M.mp4
125.91	7.0	stimulus	4	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t2aaaff_H.mp4
160.91	7.01	stimulus	5	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	gf097t1aiaff_M.mp4
190.01	7.01	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bn080t1afaff_H.mp4
219.71	7.0	stimulus	7	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aaunaff_L.mp4
246.01	7.01	stimulus	8	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aaaff_H.mp4
277.01	7.01	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeaff_H.mp4
316.11	7.01	stimulus	10	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
346.51	7.0	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaunaff_L.mp4
380.81	7.01	stimulus	12	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aeaff_M.mp4
37.72		outcomerating	1	low_cue	low_stim			10.63	Moderate	0.33	3.57	task-vicarious_scale.png
69.32		outcomerating	2	low_cue	med_stim			3.69	Weak	0.68	0.95	task-vicarious_scale.png
97.43		outcomerating	3	high_cue	med_stim			30.84	Strong	0.5	3.13	task-vicarious_scale.png
136.13		outcomerating	4	low_cue	high_stim			6.7	Weak	0.9	2.02	task-vicarious_scale.png
173.83		outcomerating	5	high_cue	med_stim			8.66	Weak	1.85	1.98	task-vicarious_scale.png
200.12		outcomerating	6	low_cue	high_stim			14.2	Moderate	0.4	2.65	task-vicarious_scale.png
232.63		outcomerating	7	low_cue	low_stim			0.0		0.42	1.6	task-vicarious_scale.png
257.92		outcomerating	8	high_cue	high_stim			39.24	Strong	0.87	2.78	task-vicarious_scale.png
288.02		outcomerating	9	high_cue	high_stim			30.07	Strong	0.05	3.92	task-vicarious_scale.png
327.03		outcomerating	10	high_cue	low_stim			30.17	Strong	0.45	1.98	task-vicarious_scale.png
358.53		outcomerating	11	high_cue	low_stim			27.38	Moderate	0.07	3.92	task-vicarious_scale.png
394.52		outcomerating	12	low_cue	med_stim			14.93	Moderate	0.3	2.78	task-vicarious_scale.png
