mean_ExpL_Subj_N1,mean_ExpL_Subj_N2,mean_ExpL_Subj_N3,mean_ExpH_Subj_N1,mean_ExpH_Subj_N2,mean_ExpH_Subj_N3
49.1241737856957,49.0679854145398,48.8519346480932,49.1294202331893,49.0548556465758,49.2154421547674
48.9179287964382,48.7929296763857,48.8211444331456,49.0354322083738,49.1434148242724,49.1308592525434
48.814594901595,48.7571623661986,48.6664781585442,49.1537196923652,49.1748341305499,49.2105661662691
49.0610192883184,49.0831056825121,49.0719847331369,49.0550261402083,49.2030976146107,49.1585280111279
48.9959434295328,49.0850870301176,49.006357921016,49.2330583238208,49.160807114166,49.203156635329
48.9976380388383,48.9442694780536,48.937498130996,49.1253363827296,49.1266456522725,49.036040369772
48.8650975543968,48.7535043344204,48.8168073308804,48.9932591631075,48.9244493357247,48.8993359681189
48.9225486347423,49.0286307395749,48.9953656664773,49.2153594448584,49.0650066535911,49.1439564832245
48.7288882630178,48.7899834803686,48.7450597449853,49.1669375240542,49.1404244575025,49.1590064293255
48.6265670501083,48.7026301624695,48.8141451214982,49.2471837718356,49.175492970201,49.1384703265212
48.743675602715,48.6953418792593,48.7538551679494,49.1957593774622,49.220169026383,49.1714024615506
48.5582717100461,48.5685757451796,48.4704983791282,49.5044548738747,49.5018679901518,49.5634122887085
48,48,48,50,50,50
48.2496884320726,48.2685012559634,48.2365280775623,49.7075579176744,49.6698943053607,49.7079085098527
49.0183377351136,49.0632254277475,48.9575816318662,48.9998930739294,48.9907762204199,48.9557050783577
48.8451638058482,48.8190065186317,48.89456986771,49.0451446146173,49.1431460977663,49.0200803506635
48.8172047039793,48.8439015582859,48.9257001481257,49.1379399652669,49.1776871314783,49.0843502308603
48.941300027937,48.8464106829255,48.8353782474356,49.1181473705289,49.2347269519523,49.2138279342395
48.5982144785632,48.6026798669108,48.6218504922577,49.4172765079491,49.4073499094274,49.3770657291753
48.987629218758,48.8718527455246,48.9024876331147,49.1466732934017,49.1751215724744,49.1392362387644
48.8314568602849,48.8980090660928,48.8555005383257,49.3031183030908,49.2431307347186,49.2121054800242
48.9967809923683,49.0146847506151,48.8866439968398,49.0997969440676,49.1942610798335,49.1026440048028
48.4232718962223,48.5273358830985,48.5898874291266,49.4374087613023,49.3437940608087,49.2756506247797
48.9820676897751,49.0258854136973,48.992021587538,49.0495499121224,49.075774439707,48.9850845143525
48.879743749605,48.7464838160867,48.8627112137016,48.9937397631558,48.9632715792301,49.0280203717735
48,48,48,50,50,50
48.6225962422023,48.6123663607947,48.6450704224108,49.5723379033855,49.5658744998117,49.5264158828302
48.7803363551656,48.8320790632225,48.7854306959488,49.1316241271321,49.1046658174246,49.080165516266
48.8286668992421,48.7737872709085,48.6824058517534,49.0489076302426,49.1914191992297,49.0870917073803
48.7520484526216,48.7802210070407,48.7537773528402,49.3782134478377,49.3407964352928,49.3278870038759
48.8074625155704,48.9190194243727,48.8609353756986,49.3934845395936,49.2712184939815,49.267059472688
48.7724673850458,48.8748347410567,48.7396180601153,49.1128185834734,49.0295355783023,49.0975142887645
48.6108618352496,48.5665537226399,48.5119426521044,49.408681135156,49.465897970005,49.4897247419312
48.1881520293069,48.1798508230335,48.1610296630291,49.883326698847,49.8818750588211,49.8934441840472
48.6084443107684,48.6910685667277,48.8012250771309,49.2301811301978,49.2411056737141,49.0725439013213
48.7905547256981,48.7848445102259,48.6857478456312,49.2883539094124,49.2700065614271,49.3771243119857
48.8810012817283,48.8775204183125,48.8942223128174,49.0778150122349,48.879122177384,49.0118259215816
48.4879554948862,48.5571063277414,48.4726760828705,49.5531836799858,49.4983128019499,49.5561238761211
48.9982816576044,48.9006296733914,49.029446047482,49.0230562568758,48.9715088486836,48.9280724285797
48.2574791715837,48.2991295823227,48.2816925412788,49.581999359761,49.4751071046367,49.5187764108868
48.84907094105,48.727290866805,48.7664990381603,49.0460672011355,49.1968463420992,49.090868467786
48.7244234225917,48.6917999999515,48.649676459867,49.383508416092,49.452108549287,49.3751032702032
48.6422453938095,48.6534408679422,48.59305458017,49.252825212171,49.2244459183087,49.2740068098199
48.8314287023237,48.8473037995509,48.9063652362485,49.2980791510322,49.2699716203422,49.2075209820081
48.7990624906952,48.7364052019822,48.7236438345567,48.9970173476554,49.0292663216578,49.1114941331082
48.7745869265528,48.7627889722844,48.7667617667089,49.2017743275212,49.1483229927538,49.1462900633167
48.8190901465991,48.7128034022053,48.7474615179711,48.8789573304846,48.9543922806707,48.9426737928646
48.1601406025229,48.1583674807075,48.1324462443213,49.7909267233926,49.790253185663,49.812350428412
48.6890675412885,48.7761592836669,48.6692723998458,49.3653195623359,49.2648135888532,49.3441402712689
48.2182715777527,48.1732212400925,48.1710228487385,49.8655591555364,49.8908573331464,49.8908869268993
49.1727667738103,49.1224975754782,49.0718293618554,48.8654805615713,48.7908929610439,48.8966809077365
49.0949263891909,49.0527099503309,49.0795478689166,49.0546224055086,49.0134426451971,49.3634775312842
48.6487762651491,48.5999336088459,48.6494883241873,49.4748712301483,49.4901629009266,49.4345327514544
48.7631009750579,48.7280643967052,48.7285842948209,49.1813326157963,49.060689554633,49.1137905649742
49.0359001563856,48.9054992765626,48.9193334991522,49.0389476404372,49.1367405025114,49.0041362499368
48.846960615789,48.9298157034335,48.7668704559879,49.2816309301443,49.2110563044035,49.3097475162056
48.8861474553509,48.8999789861689,48.9032955066699,49.0934885572089,49.0437351091451,49.01944907064
49.1041486453731,49.1587924195532,49.099522291695,49.1541227544891,49.1935629692451,49.1744962477188
48.8607910221138,48.8480622609002,48.8365772433591,49.1518208240312,49.1361935385855,49.0350285648822
48.62528764517,48.6743960508812,48.5852921824783,49.2018096304463,49.1188418892629,49.1586017564674
49.0260091874974,49.045107238391,48.9477844358884,48.9908904446656,48.9547246321048,49.0320322716084
48.5313275125966,48.4977337323809,48.5226982184547,49.4941907855333,49.5000458827882,49.4722432520811
48.8420292092224,48.7244503594251,48.7992757656389,49.0397664801279,49.1141291377308,49.1365987495595
48.9585815480932,48.9849825513785,49.0919380202742,49.0988827298858,49.1280088057134,49.0308328852024
48.9454568351017,48.9500156413354,48.8805077403541,49.1401587739456,49.0892450248956,49.1223008944133
48.7634811739106,48.7243910295875,48.7851122771207,49.0417528969287,49.0833717884914,48.9942148007318
48.7251166438717,48.8160291921972,48.8215227227706,49.2908603496713,49.2856388814932,49.1761772802225
48.761429468382,48.6152041524515,48.6899383397878,49.1542265824776,49.2086095703278,49.1700091901029
48.7508154589213,48.7180182769696,48.666794089182,48.8528137395302,48.865163548662,48.8432402025496
48.8084339138742,48.8861946676832,48.8817655611424,49.0783970532582,48.994825979042,48.9277888338232
48.7405520834479,48.7246654720599,48.7062620535691,49.3125487839733,49.3051325776623,49.2954425233644
48.3958106428296,48.3527837899922,48.3943821049667,49.4682622916337,49.4966867478604,49.4439451476754
48.8630067832117,48.8490428802513,48.8112118700408,48.9392133702684,48.9548048619276,48.91011240281
48.9151368739111,48.9243007018937,48.9578413725607,49.2545180412102,49.2164535933829,49.2213596142098
48.986667407523,48.9095638576694,49.0250509431111,49.1213954713518,49.1888655868533,48.9858230928508
48.7635163016891,48.8054326461928,48.7688243815397,48.9936331371524,49.1873171687969,49.2542985506298
49.0124027421481,48.9931488100937,48.9502924235081,49.0417657546782,48.9820370338863,49.1246879734876
49.0586073871378,49.0626620933472,48.8907597628514,49.0510974301383,49.0866296471847,49.2126716885623
48.8617091997028,48.8795106927294,48.8181261089423,49.1516574136255,49.130513319728,49.142771785689
48.5911761563503,48.5968264838568,48.5555189159821,49.0620256494753,49.0575134229128,49.0998770967941
48.6055684455936,48.7695002847741,48.5811527817152,49.5391245952351,49.3893689576461,49.5300586228469
49.0403755746894,49.0129726328623,48.9961269207605,49.005536806219,49.0216867832016,48.9371119434229
48.8961224874295,48.9812828536251,48.9109121789905,49.0697677853244,49.0487677918012,49.0209666889792
48.8552078428529,49.020465736047,48.8778830456395,49.0956676667936,49.0463249939214,49.0620300958521
48.9544870010278,49.0298375230084,48.9674397408223,49.1497744655604,49.211264083304,49.1616063934031
48.6042111264229,48.6111102383146,48.6606679228152,49.4089799690353,49.3889688390034,49.3375685305908
49.09636593289,49.1264745820448,49.0533062315731,49.1665473566747,49.4026098546427,49.3842486282662
48.8214588646396,48.8102800937001,48.7745163963023,49.1729934916711,49.0826334216444,49.1756127192473
48.6730340770206,48.7558556858977,48.7197526325326,49.1667432917984,49.0188628702716,49.1316958948708
48.8946482155332,48.931676251629,48.8506636394559,48.9678930399876,48.8870948078586,48.9997756104601
48.1578836002215,48.1740978974777,48.1683075080222,49.8349237042956,49.8154183083337,49.815698456898
48.9676446580355,49.0527329154092,48.8697877342453,49.1111074772164,49.0000319867821,49.1631207205432
48,48,48,50,50,50
49.0093585066731,48.8758214783897,48.9426571074344,49.0981355227084,49.1937736534512,49.0313677680475
49.0016288464563,48.9889147791201,48.9051784578738,49.0516194856275,49.0779706645968,49.1607458746481
48.1102845535961,48.1344483557924,48.1387247892007,49.843006614722,49.8054169670825,49.7950965370942
48.4728446970427,48.4588685621079,48.4605303892418,49.3664455289106,49.3506235200114,49.3450950349437
49.029790171951,48.9682880814179,49.0319816614829,49.0235804763499,48.8864490694454,48.9587693362268
48.8851228218376,48.9695282347108,48.9331974686125,49.1329707358383,49.1627253359914,49.1555745434473
48.9169435793131,48.9031890410371,48.8827827771108,48.9079909517814,48.9943410557695,48.8509487532401
48.7620394635173,48.6933672992475,48.6710154973573,49.2206326424576,49.2353264482643,49.2730790465383
48.9121210967783,48.8990198812261,49.016874308614,49.1328355213657,49.1294598185364,49.0509699523774
