onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
5.69	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png
32.3	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png
63.09	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l025.png
95.09	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h023.png
120.2	0.98	cue	5	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l018.png
159.9	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
219.3	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png
252.5	0.98	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h055.png
283.89	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png
311.89	1.0	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l015.png
341.3	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h054.png
371.59	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l002.png
8.31		expectrating	1	high_cue	n/a			12.8	Moderate	0.83	3.98	h003.png
35.3	2.89	expectrating	2	low_cue	n/a	13.64	Moderate	13.64	Moderate	0.42	2.47	l035.png
65.5	3.18	expectrating	3	low_cue	n/a	22.87	Moderate	22.87	Moderate	1.67	1.51	l025.png
97.49	2.83	expectrating	4	high_cue	n/a	31.2	Strong	31.2	Strong	0.63	2.2	h023.png
123.2	2.07	expectrating	5	low_cue	n/a	38.48	Strong	38.48	Strong	0.78	1.29	l018.png
162.9	3.59	expectrating	6	high_cue	n/a	39.95	Strong	39.95	Strong	0.13	3.46	h021.png
221.5	2.77	expectrating	7	low_cue	n/a	21.42	Moderate	21.42	Moderate	0.58	2.18	l012.png
255.1	3.9	expectrating	8	high_cue	n/a	31.09	Strong	31.09	Strong	1.13	2.77	h055.png
285.79	3.33	expectrating	9	high_cue	n/a	23.38	Moderate	23.38	Moderate	0.98	2.34	h042.png
314.91	3.47	expectrating	10	low_cue	n/a	27.8	Moderate	27.8	Moderate	1.55	1.92	l015.png
343.2		expectrating	11	high_cue	n/a			28.06	Moderate	2.3	3.95	h054.png
373.49	3.09	expectrating	12	low_cue	n/a	26.36	Moderate	26.36	Moderate	0.65	2.44	l002.png
14.89	7.01	stimulus	1	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aiaff_H.mp4
47.19	7.01	stimulus	2	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg101t2aeaff_H.mp4
72.09	7.02	stimulus	3	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aaaff_H.mp4
104.69	7.01	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t1afaff_H.mp4
140.39	7.01	stimulus	5	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1afunaff_L.mp4
188.99	7.01	stimulus	6	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	bm049t1afaff_L.mp4
230.49	7.01	stimulus	7	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2afaff_M.mp4
262.08	7.0	stimulus	8	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aeunaff_M.mp4
293.38	7.02	stimulus	9	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	bm049t2aeaff_M.mp4
322.48	7.01	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg101t2aeunaff_M.mp4
355.49	7.0	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aaunaff_L.mp4
